"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"240","CD56loCD16posNK_NFkB_LPS",-596.528895095483,-596.423921999382,0.157431086811301,0.000210176984074186,-0.0127654293219204,"linear","linear"
"241","CD56loCD16posNK_NFkB_unstim",-290.588568725527,-289.740342252761,0.0134537870755642,-0.00045487500273493,0.02540092894376,"linear","linear"
"242","CD56loCD16posNK_p38_IFNa",-517.612298853921,-518.775190366317,0.106460012247515,-0.000352490937404684,0.0236701655276202,"quadratic","deceleration/increase"
"243","CD56loCD16posNK_p38_unstim",-1087.57680494651,-1085.62763878615,0.309652825416236,-6.7192792860754e-06,0.00031988843562255,"linear","linear"
"244","CD56loCD16posNK_S6_IFNa",-761.791525495816,-762.21376936427,0.293413330780953,-0.000136855904672898,0.00875229935776048,"quadratic","deceleration/increase"
"245","CD56loCD16posNK_S6_IL246",-762.725641907752,-760.72833280572,0.965377971710768,4.56562168321897e-06,-0.000280692494754596,"linear","linear"
"246","CD56loCD16posNK_S6_LPS",-720.283553131942,-718.410446732293,0.251562366254869,-3.61095842925112e-05,0.00277345736451108,"linear","linear"
"247","CD56loCD16posNK_S6_unstim",-206.700342374075,-204.940498766548,0.508679003048245,0.000275141174514465,-0.0163827476694375,"linear","linear"
"248","CD56loCD16posNK_STAT1_IFNa",-126.138681487956,-133.639043979039,1.2732500113819e-15,-0.00222913852753402,0.167804428432995,"quadratic","deceleration/increase"
"249","CD56loCD16posNK_STAT1_unstim",-675.214911643768,-673.26574548341,0.309652825416236,-2.65630338411011e-05,0.00126460100541256,"linear","linear"
"250","CD56loCD16posNK_STAT3_IFNa",72.0390817479584,64.338922330229,0.000748018833471839,-0.00435918225698148,0.293743539062957,"quadratic","deceleration/increase"
"251","CD56loCD16posNK_STAT3_IL246",-71.5441370597514,-71.0822986991396,0.0012301166656376,-0.00109025866566804,0.0814067903772447,"linear","linear"
"252","CD56loCD16posNK_STAT3_unstim",-179.610977082572,-177.635912404159,0.286694153993662,-9.70705812666339e-05,0.00379894866636007,"linear","linear"
"253","CD56loCD16posNK_STAT5_IFNa",-165.96375515639,-167.46609210917,0.00322200120662915,-0.0011970254634779,0.0843604980786295,"quadratic","deceleration/increase"
"254","CD56loCD16posNK_STAT5_IL246",31.4704522727143,31.5217887777065,0.0104106755043053,-0.00172873856592321,0.123879629550188,"linear","linear"
"255","CD56loCD16posNK_STAT5_unstim",-260.733843853791,-264.749532202066,0.0113582220529318,0.0011391049263511,-0.0767439890583517,"quadratic","deceleration/decrease"
"256","CD56loCD16posNK_STAT6_IFNa",-623.30706667643,-635.459101186443,0.000503449051793962,-0.000514788339338139,0.0326645482015363,"quadratic","deceleration/increase"
